title,info
The Fate of the Furious,"['mysteri', 'woman', 'seduc', 'dom', 'world', 'crime', 'betray', 'closest', 'crew', 'face']['Action', 'Crime', 'Thriller']"
Forrest Gump,"['man', 'thing', 'love', 'low', 'accomplish', 'great', 'life', 'present', 'signific', 'histor']['Comedy', 'Drama', 'Romance']"
Pirates of the Caribbean: The Curse of the Black Pearl,"['sparrow', 'pirat', 'jack', 'freewheel', '17thcenturi', 'roam', 'caribbean', 'sea', 'butt', 'head']['Adventure', 'Fantasy', 'Action']"
Security,"['desper', 'job', 'wit', 'exspeci', 'servic', 'veteran', 'luck', 'work', 'take', 'secur']['Action']"
The Legend of Tarzan,"['tarzan', 'acclim', 'life', 'london', 'call', 'back', 'former', 'home', 'jungl', 'investig']['Action', 'Adventure']"
King Arthur: Legend of the Sword,"['arthur', 'child', 'father', 'murder', 'vortigern', 'uncl', 'seiz', 'crown', 'rob', 'birthright']['Action', 'Drama', 'Fantasy']"
Doctor Strange,"['career', 'destroy', 'brilliant', 'arrog', 'surgeon', 'get', 'new', 'leas', 'life', 'sorcer']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Suicide Squad,"['comic', 'come', 'suicid', 'squad', 'antihero', 'team', 'incarcer', 'supervillain', 'act', 'deniabl']['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
Star Wars,"['princess', 'empir', 'leia', 'captur', 'held', 'hostag', 'evil', 'imperi', 'forc', 'effort']['Adventure', 'Action', 'Science Fiction']"
Ted 2,"['ted', 'newlyw', 'coupl', 'tamilynn', 'want', 'babi', 'order', 'qualifi', 'parent', 'prove']['Comedy']"
Schindler's List,"['true', 'stori', 'businessman', 'oskar', 'schindler', 'save', 'thousand', 'jewish', 'live', 'nazi']['Drama', 'History', 'War']"
Rise of the Planet of the Apes,"['scientist', 'rodman', 'determin', 'find', 'cure', 'alzheim', 'diseas', 'slowli', 'consum', 'father']['Thriller', 'Action', 'Drama', 'Science Fiction']"
Maze Runner: The Scorch Trials,"['glader', 'wckd', 'thoma', 'fellow', 'face', 'greatest', 'challeng', 'yet', 'search', 'clue']['Action']"
The Godfather,"['corleon', 'crime', 'famili', 'span', 'year', '1945', '1955', 'chronicl', 'fiction', 'italianamerican']['Drama', 'Crime']"
Fantastic Beasts and Where to Find Them,"['newt', 'magic', 'briefcas', 'creatur', '1926', 'scamand', 'arriv', 'congress', 'unit', 'state']['Adventure', 'Family', 'Fantasy']"
Spirited Away,"['parent', 'along', 'world', 'ten', 'year', 'old', 'girl', 'wander', 'away', 'path']['Fantasy', 'Adventure', 'Animation', 'Family']"
Wind River,"['fbi', 'agent', 'team', 'town', 'veteran', 'game', 'tracker', 'investig', 'murder', 'occur']['Action', 'Crime', 'Mystery', 'Thriller']"
Now You See Me 2,"['face', 'one', 'year', 'outwit', 'fbi', 'win', 'public', 'adul', 'mindbend', 'spectacl']['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']"
Life Is Beautiful,"['touch', 'stori', 'italian', 'book', 'seller', 'jewish', 'ancestri', 'live', 'littl', 'fairi']['Comedy', 'Drama']"
Transformers: The Last Knight,"['autobot', 'decepticon', 'war', 'human', 'sidelin', 'optimus', 'prime', 'gone', 'key', 'save']['Action', 'Science Fiction', 'Thriller', 'Adventure']"
Before I Fall,"['everyth', 'samantha', 'kingston', 'chang', 'one', 'fate', 'night', 'wake', 'futur', 'trap']['Mystery', 'Drama', 'Thriller']"
Harry Potter and the Philosopher's Stone,"['harri', 'learn', 'school', 'potter', 'live', 'stair', 'aunt', 'uncl', 'hous', 'whole']['Adventure', 'Fantasy', 'Family']"
Girls Trip,"['four', 'girlfriend', 'take', 'trip', 'new', 'orlean', 'annual', 'festiv', 'along', 'way']['Comedy']"
2:22,"['man', 'life', 'derail', 'omin', 'pattern', 'event', 'repeat', 'exact', 'manner', 'everi']['Drama', 'Thriller']"
